ID,GESTION,CATEGORIA,MES,BIMESTRE,TRIMESTRE,CUATRIMESTRE,SEMESTRE,ADUANA,NANDINA,PARTIDA,SUBPARTIDA,CAPITULO,SECCION,PAIS,AREA,MEDIO,VIA,DEPTO,CUCI,GCE,SECTOR,CODACT,CIIU_SECCION,CIIU,TNT,TNT_GRUPO,TNT_CLASE,KILBRU,KILNET,FINUNI,VALOR
94,1992,1,1,1,1,1,1,0,6813100000,6813,681310,68,13,589,10,9,12,2,66382,220,4,D29,D,2699,34,21,2,230,230,230,1322
95,1992,1,1,1,1,1,1,0,7113190000,7113,711319,71,14,611,32,5,9,2,89731,610,4,D27,D,3691,20,21,2,562,562,562,5027
96,1992,1,1,1,1,1,1,0,5102101000,5102,510210,51,11,628,40,9,3,2,2683,210,1,A11,A,0122,34,21,2,5318,5246,5246,73212
97,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,628,40,5,9,2,28911,210,3,C9,C,1320,8,11,1,853,704,262,33325
98,1992,1,1,1,1,1,1,0,2616901000,2616,261690,26,5,628,40,5,9,2,28919,210,3,C8,C,1320,7,11,1,130,108,40,472284
99,1992,1,1,1,1,1,1,0,6116910000,6116,611691,61,11,764,40,5,9,2,84692,630,4,D11,D,1810,34,21,2,18,18,18,410
100,1992,1,1,1,1,1,1,0,7308909090,7308,730890,73,15,764,40,5,9,2,69119,220,4,D29,D,2811,34,21,2,600,600,600,200
101,1992,1,1,1,1,1,1,0,9205900000,9205,920590,92,18,764,40,5,9,2,89823,610,4,D29,D,3692,34,21,2,62,62,62,1414
102,1992,1,1,1,1,1,1,0,1801001000,1801,180100,18,4,767,42,9,3,2,0721,111,1,A3,A,0113,11,21,2,6020,6000,6000,12900
103,1992,1,1,1,1,1,1,0,1804000000,1804,180400,18,4,767,42,9,3,2,0724,121,4,D1,D,1543,11,21,2,10100,10020,10020,40080
104,1992,1,1,1,1,1,1,0,7108120000,7108,710812,71,14,767,42,5,9,2,97101,220,4,D22,D,2720,7,11,1,14,14,14,158812
105,1992,1,1,1,1,1,1,0,4102210000,4102,410221,41,8,845,10,5,9,2,2117,210,4,D10,D,1511,15,21,2,5000,5000,5000,15950
106,1992,1,1,1,1,1,1,0,4102100000,4102,410210,41,8,845,10,8,8,2,2116,210,4,D10,D,1511,15,21,2,13255,13187,13187,21000
107,1992,1,1,1,1,1,1,0,9701100000,9701,970110,97,21,850,10,5,9,2,89611,610,4,D29,D,3699,34,21,2,26,26,26,100
108,1992,1,1,1,1,1,1,0,2611000000,2611,261100,26,5,23,40,9,3,3,28792,210,3,C5,C,1320,4,11,1,69062,66300,47073,277702
109,1992,1,1,1,1,1,1,0,6110100000,6110,611010,61,11,23,40,5,9,3,8453,620,4,D9,D,1730,34,21,2,352,352,352,8031
